year,era,round,race_name,team,driver,teammate,pair,lap_number,lap_time_s,compound,tyre_life,stint,position
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,22.0,97.122,HARD,7.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,23.0,97.265,HARD,8.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,24.0,97.046,HARD,9.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,25.0,97.179,HARD,10.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,26.0,97.638,HARD,11.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,27.0,96.945,HARD,12.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,28.0,97.256,HARD,13.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,29.0,97.104,HARD,14.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,30.0,96.982,HARD,15.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,31.0,96.957,HARD,16.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,32.0,97.056,HARD,17.0,2.0,8.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,33.0,97.202,HARD,18.0,2.0,8.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,34.0,97.601,HARD,19.0,2.0,7.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,35.0,97.273,HARD,20.0,2.0,5.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,36.0,98.343,HARD,21.0,2.0,7.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,37.0,96.799,HARD,22.0,2.0,7.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,38.0,97.297,HARD,23.0,2.0,7.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,39.0,97.946,HARD,24.0,2.0,8.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,40.0,98.061,HARD,25.0,2.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,43.0,95.107,HARD,2.0,3.0,11.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,44.0,94.981,HARD,3.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,45.0,94.872,HARD,4.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,46.0,95.126,HARD,5.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,47.0,95.225,HARD,6.0,3.0,10.0
