driver,race,stint,compound,stint_length,avg_lap_time
BOT,Hungarian Grand Prix,2.0,HARD,39.0,85.25835106382979
BOT,Hungarian Grand Prix,3.0,HARD,32.0,84.41072549019609
BOT,Italian Grand Prix,1.0,HARD,33.0,87.15877777777777
BOT,Italian Grand Prix,1.0,MEDIUM,34.0,87.92525806451613
BOT,Italian Grand Prix,2.0,MEDIUM,28.0,86.01257142857142
BOT,Italian Grand Prix,2.0,SOFT,11.0,86.2133
BOT,Japanese Grand Prix,2.0,SOFT,5.0,117.37175
BOT,Japanese Grand Prix,3.0,HARD,15.0,98.74914285714286
BOT,Japanese Grand Prix,3.0,INTERMEDIATE,22.0,110.26957142857142
BOT,Japanese Grand Prix,4.0,HARD,30.0,97.8355172413793
BOT,Las Vegas Grand Prix,1.0,HARD,16.0,101.00420000000001
BOT,Las Vegas Grand Prix,2.0,HARD,22.0,101.60829411764705
BOT,Las Vegas Grand Prix,2.0,MEDIUM,17.0,99.434625
BOT,Las Vegas Grand Prix,3.0,HARD,14.0,97.4709090909091
BOT,Las Vegas Grand Prix,3.0,MEDIUM,26.0,100.24968181818181
BOT,Mexico City Grand Prix,1.0,HARD,40.0,83.57063636363637
BOT,Mexico City Grand Prix,1.0,MEDIUM,38.0,84.780609375
BOT,Mexico City Grand Prix,2.0,HARD,31.0,84.34471428571429
BOT,Mexico City Grand Prix,2.0,MEDIUM,22.0,81.59025
BOT,Mexico City Grand Prix,3.0,HARD,40.0,85.2278888888889
BOT,Miami Grand Prix,1.0,MEDIUM,25.0,94.68132432432432
BOT,Miami Grand Prix,1.0,SOFT,10.0,94.6118888888889
BOT,Miami Grand Prix,2.0,HARD,40.0,93.27866666666667
BOT,Miami Grand Prix,3.0,MEDIUM,28.0,92.88552
BOT,Monaco Grand Prix,1.0,HARD,40.0,79.49915384615385
BOT,Monaco Grand Prix,1.0,WET,19.0,98.99558823529412
BOT,Monaco Grand Prix,2.0,INTERMEDIATE,26.0,95.05816
BOT,Monaco Grand Prix,2.0,MEDIUM,13.0,82.83433333333333
BOT,Monaco Grand Prix,3.0,HARD,40.0,80.5115671641791
BOT,Qatar Grand Prix,1.0,MEDIUM,23.0,87.87605263157894
BOT,Qatar Grand Prix,2.0,HARD,9.0,87.49525
BOT,Qatar Grand Prix,2.0,MEDIUM,17.0,91.2056875
BOT,Qatar Grand Prix,3.0,HARD,17.0,88.427125
BOT,Qatar Grand Prix,4.0,HARD,19.0,87.11505882352941
BOT,Qatar Grand Prix,4.0,MEDIUM,30.0,86.41226666666667
BOT,Saudi Arabian Grand Prix,1.0,MEDIUM,15.0,97.04238095238095
BOT,Saudi Arabian Grand Prix,1.0,SOFT,6.0,96.8652
BOT,Saudi Arabian Grand Prix,2.0,HARD,27.0,95.82446666666667
BOT,Saudi Arabian Grand Prix,3.0,MEDIUM,17.0,96.73649999999999
BOT,Saudi Arabian Grand Prix,3.0,SOFT,14.0,93.15576923076924
BOT,Saudi Arabian Grand Prix,4.0,SOFT,14.0,95.60084615384615
BOT,Singapore Grand Prix,1.0,HARD,39.0,101.09278787878787
BOT,Singapore Grand Prix,1.0,INTERMEDIATE,32.0,122.84808695652173
BOT,Singapore Grand Prix,2.0,MEDIUM,28.0,98.45322857142857
BOT,Singapore Grand Prix,2.0,SOFT,26.0,114.19985
BOT,Spanish Grand Prix,1.0,SOFT,16.0,85.79741666666666
BOT,Spanish Grand Prix,2.0,HARD,33.0,81.59171875
BOT,Spanish Grand Prix,2.0,MEDIUM,19.0,88.66188888888888
BOT,Spanish Grand Prix,2.0,SOFT,19.0,81.67366666666666
BOT,Spanish Grand Prix,3.0,HARD,37.0,80.77101639344262
BOT,Spanish Grand Prix,3.0,MEDIUM,32.0,88.3891935483871
BOT,São Paulo Grand Prix,1.0,INTERMEDIATE,29.0,86.89203846153848
BOT,São Paulo Grand Prix,1.0,SOFT,23.0,77.65870588235293
BOT,São Paulo Grand Prix,2.0,INTERMEDIATE,37.0,85.57384375
BOT,São Paulo Grand Prix,2.0,MEDIUM,20.0,76.71636842105264
BOT,São Paulo Grand Prix,3.0,SOFT,26.0,76.75941935483871
BOT,São Paulo Grand Prix,4.0,MEDIUM,20.0,76.90599999999999
BOT,United States Grand Prix,1.0,MEDIUM,14.0,103.56411538461538
BOT,United States Grand Prix,2.0,HARD,40.0,102.02723333333333
BOT,United States Grand Prix,3.0,HARD,28.0,102.50944444444445
COL,Abu Dhabi Grand Prix,2.0,HARD,22.0,90.45361904761906
COL,Azerbaijan Grand Prix,1.0,MEDIUM,9.0,109.848375
COL,Azerbaijan Grand Prix,2.0,HARD,39.0,108.87202631578947
COL,Italian Grand Prix,1.0,MEDIUM,15.0,86.64999999999999
COL,Italian Grand Prix,2.0,HARD,37.0,84.87522222222222
COL,Las Vegas Grand Prix,1.0,HARD,15.0,100.81414285714285
COL,Las Vegas Grand Prix,2.0,MEDIUM,9.0,98.299875
COL,Las Vegas Grand Prix,3.0,HARD,24.0,97.86252173913044
COL,Mexico City Grand Prix,1.0,HARD,40.0,83.4085294117647
